,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
62,SE0011897834=ST,SE0011897834=ST,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2019-02-13,,,,,,,,,,,,10000,100000000
63,SE0012011526=,SE0012011526=,EUR,,,,,,,,,2019-01-02,2.5519,,0.1611,,,,,,,0.97431,,50000000,50000000
64,SE0012013084=,SE0012013084=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2025-05-23,,,,,,2019-05-06,0.0028,,0.0028,,0.002778,,2.172946,,,2.353976,,2000000,1300000000
65,SE0012116242=ST,SE0012116242=ST,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2019-03-21,,,,,,,,,,,,10000,100000000
66,SE0012193829=,SE0012193829=,SEK,,,,,,,,,2019-09-11,0.35,,0.3471,0.062271314507005,0.35,,2.489609,,,2.414711,,2000000,1600000000
67,SE0012193902=,SE0012193902=,SEK,,,,,,,,,2019-10-16,2.4529,,0.2,,1.998934,,55.460485,,,44.409586,,2000000,200000000
68,SE0012193910=,SE0012193910=,SEK,NR,Egan-Jones Senior Unsecured,2024-05-24,,,,,,2019-10-23,3.1981,,0.2194,,,,,,,37.349516,,1250000,1500000000
69,SE0012257152=,SE0012257152=,SEK,a2,Moody's Adjusted Baseline Credit Assessments Rating,2025-11-18,,,,,,2019-03-28,,,,,,,,,,,,10000,30000000
70,SE0012257186=,SE0012257186=,SEK,a2,Moody's Adjusted Baseline Credit Assessments Rating,2025-11-18,,,,,NR,2019-05-23,,,,,,,,,,,,2000000,20000000
71,SE0012257491=,SE0012257491=,SEK,a2,Moody's Adjusted Baseline Credit Assessments Rating,2025-11-18,,,,,,2019-09-25,,,,,,,,,,,,1000000,50000000
72,SE0012257509=,SE0012257509=,SEK,a2,Moody's Adjusted Baseline Credit Assessments Rating,2025-11-18,,,,,,2019-09-25,,,,,,,,,,,,1000000,50000000
73,SE0012323822=,SE0012323822=,SEK,(P)A3,Moody's Long-term Subordinate MTN Rating,2025-10-07,,,,,,2019-05-07,,,,,,,,,,,,10000,14770000
74,SE0012455111=,SE0012455111=,SEK,B,Fitch Senior Unsecured,2025-01-10,CCC,2024-02-27,,,,2019-04-11,0.1917,,0.1917,,12.651259,,8.019147,,,7.823528,Bond Grade: High Yield,1250000,4500000000
75,SE0012455459=ST,SE0012455459=ST,SEK,A1,Moody's Backed Senior Secured,2025-04-03,,,,,,2019-06-12,,,,,,,,,,,,10000,6880000
76,SE0012455772=,SE0012455772=,SEK,,,,,,,,,2019-04-25,2.2144,,2.0449,,,,,,,33.14064,,1000000,200000000
77,SE0012596559=,SE0012596559=,SEK,Aa2,Moody's Long-term Issuer Rating,2025-10-07,,,,,,2019-07-17,,,,,,,,,,,,10000,16950000
78,SE0012676013=,SE0012676013=,SEK,,,,,,,,,2020-02-19,15.6308,,15.0104,1.39788173026717,15.62019,,4.18305,,,4.132817,,2000000,200000000
79,SE0012676138=,SE0012676138=,SEK,,,,,,,,,2020-06-26,2.4635,,0.1444,,2.458728,,9.300409,,,8.272868,,2000000,650000000
80,SE0012676252=,SE0012676252=,SEK,,,,,,,,,2020-12-22,0.8675,,0.1333,,0.86469,,2.580198,,,2.53018,,2000000,300000000
81,SE0012676294=,SE0012676294=,SEK,WR,Moody's Long-term Issuer Rating,2024-03-14,,,,,,2021-02-05,0.8246,,0.0861,,0.821773,,2.565947,,,2.515807,,2000000,200000000
82,SE0012676534=,SE0012676534=,SEK,WR,Moody's Long-term Issuer Rating,2024-03-14,,,,,,2019-10-07,0.4227,,0.175,,0.41995,,2.38928,,,2.339717,,2000000,550000000
83,SE0012676559=,SE0012676559=,SEK,,,,,,,,,2019-10-18,10.889,,10.4318,0.997461619419546,10.883609,,4.432527,,,4.382402,,2000000,200000000
84,SE0012676864=,SE0012676864=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2025-05-23,,,,,,2020-08-27,1.2817,,0.0611,,1.281665,,2.968376,,,2.918393,,2000000,500000000
